"species","year","base","longitude","latitude","state"
"Bradypus crinitus",2002,"Dataset - Neotropical Xenarthrans","-42.278627","-22.54489","Rio de Janeiro"
"Bradypus crinitus",2006,"Dataset - Neotropical Xenarthrans","-42.040927","-22.426267","Rio de Janeiro"
"Bradypus crinitus",2017,"Dataset - Neotropical Xenarthrans","-40.70139","-19.95391","Espírito Santo"
"Bradypus crinitus",2017,"Dataset - Neotropical Xenarthrans","-40.53361","-19.91276","Espírito Santo"
"Bradypus crinitus",2017,"Dataset - Neotropical Xenarthrans","-40.55251","-19.91424","Espírito Santo"
"Bradypus crinitus",2017,"Dataset - Neotropical Xenarthrans","-40.530468","-19.97386","Espírito Santo"
"Bradypus crinitus",2017,"Dataset - Neotropical Xenarthrans","-41.01596","-20.29252","Espírito Santo"
"Bradypus crinitus",2014,"Dataset - Neotropical Xenarthrans","-40.713332","-19.987205","Espírito Santo"
"Bradypus crinitus",2014,"Dataset - Neotropical Xenarthrans","-40.700616","-20.039337","Espírito Santo"
"Bradypus crinitus",2014,"Dataset - Neotropical Xenarthrans","-40.75181004","-20.03421916","Espírito Santo"
"Bradypus crinitus",2014,"Dataset - Neotropical Xenarthrans","-40.750373","-20.060391","Espírito Santo"
"Bradypus crinitus",2014,"Dataset - Neotropical Xenarthrans","-40.831627","-20.094021","Espírito Santo"
"Bradypus crinitus",2014,"Dataset - Neotropical Xenarthrans","-40.884654","-20.134103","Espírito Santo"
"Bradypus crinitus",2014,"Dataset - Neotropical Xenarthrans","-40.905899","-20.176513","Espírito Santo"
